Beer,Rating
Interboro Spirits & Ales All Together,3.63
Interboro Subatomic,3.4
Interboro X Thin Man Fortified Live,3.74
Interboro/Creature Comforts More Juice Than Zeus,4.04
Ithaca Apricot Wheat,3.59
Jack’s Abby Shipping Out Of Boston,3.76
Jack's Abby Blood Orange Wheat,3.55
Jack's Abby Copper Legend,3.5
Jack's Abby House Lager,3.5
Jack's Abby Mass Rising,3.55
Jack's Abby Modern Hell,3.6
Jack's Abby Red Tape,3.35
Jack's Abby Sunny Ridge,3.91
Jack's Abby Variety Pack,4.4
Jailbreak Mango Lassi Funk,3.66
Jailbreak This Is For The Hustlers,3.99
Jester King Cerveza Sin Frontera,3.81
Jolly Pumpkin Luciérnaga,4.26
Jolly Pumpkin Oro De Calabaza,3.51
KCBC Blocktopus,3.89
KCBC Dynamite Daredevils,3.83
KCBC Marble Of Doom V,3.77
KCBC Morbid Hour,4.12
KCBC Penguins In Hyperspace,3.44
KCBC Pure Idaho,3.42
KCBC Zed Lupulin,3.79
KCBC/Fifth Hammer More Trombone!,3.7
KCBC/Zagovor Super Wow,3.54
Keg & Lantern Dark Star,3.4
Kelso Nut Brown Lager,3.7
Kent Falls The Hollow,4.07
Key Positive Mental Attitude,3.87
Kills Boro - Birthday Munchies,3.58
Kills Boro - Island Vibes,3.35
Kills Boro - With Wild Abandon,3.6
Knee Deep Simtra Triple IPA,4.07
Kombrewcha Berry Hibiscus,3.53
Kona Longboard Lager,3.39
Kuka Belgian Wit with Apricot & Plums,3.59
Kulmbacher Eisbock,3.46
Lagunitas A Little Sumpin' Sumpin',4.22
Lagunitas Czech Style Pilsner,3.81
Lagunitas IPA,3.51
Lagunitas Sumpin' Easy,3.62
Lawson's Finest Liquids Double Sunshine IPA,3.24
Lawson's Finest Liquids The Space In Between Passionfruit,4.42
